Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","46","GC06P033211","35.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"HFE","Homeostatic Iron Regulator","Protein Coding","43","GC06P026087","35.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"IL23R","Interleukin 23 Receptor","Protein Coding","45","GC01P067138","35.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23R"
"IL18","Interleukin 18","Protein Coding","44","GC11M112143","34.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"CD79A","CD79a Molecule","Protein Coding","46","GC19P041877","34.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","53","GC16P055390","33.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"CD4","CD4 Molecule","Protein Coding","50","GC12P006786","33.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"TGM2","Transglutaminase 2","Protein Coding","48","GC20M038127","33.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","47","GC19P000854","33.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"DDX41","DEAD-Box Helicase 41","Protein Coding","42","GC05M177511","32.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41"
"POMC","Proopiomelanocortin","Protein Coding","49","GC02M025160","32.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"MIR192","MicroRNA 192","RNA Gene","19","GC11M064891","31.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR192"
"SLC30A10","Solute Carrier Family 30 Member 10","Protein Coding","42","GC01M219685","31.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A10"
"HLA-DPB1","Major Histocompatibility Complex, Class II, DP Beta 1","Protein Coding","43","GC06P033447","30.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1"
"MYO9B","Myosin IXB","Protein Coding","43","GC19P022222","30.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO9B"
"IL5","Interleukin 5","Protein Coding","45","GC05M132541","30.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"ATXN2","Ataxin 2","Protein Coding","43","GC12M111443","30.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN2"
"TFRC","Transferrin Receptor","Protein Coding","49","GC03M196027","30.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","44","GC06M031272","30.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"SH2B3","SH2B Adaptor Protein 3","Protein Coding","46","GC12P111405","30.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B3"
"PSEN1","Presenilin 1","Protein Coding","52","GC14P073136","30.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1"
"NF1","Neurofibromin 1","Protein Coding","48","GC17P031007","30.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","53","GC20P046008","30.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","46","GC02M191029","29.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"REN","Renin","Protein Coding","48","GC01M204154","29.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"ENG","Endoglin","Protein Coding","46","GC09M127815","29.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"SLC30A8","Solute Carrier Family 30 Member 8","Protein Coding","41","GC08P116950","29.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A8"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","29.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"IL21","Interleukin 21","Protein Coding","43","GC04M122612","29.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","29.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","47","GC02M197486","29.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","50","GC17P045894","29.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","47","GC11M002130","29.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"CALR","Calreticulin","Protein Coding","51","GC19P012938","28.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR"
"HP","Haptoglobin","Protein Coding","44","GC16P072089","28.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"FBN1","Fibrillin 1","Protein Coding","45","GC15M048408","27.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","50","GC07P101127","27.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"ICOSLG","Inducible T Cell Costimulator Ligand","Protein Coding","38","GC21M044222","27.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICOSLG"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","47","GC22P024583","27.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"PRTN3","Proteinase 3","Protein Coding","45","GC19P000840","27.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"CASR","Calcium Sensing Receptor","Protein Coding","50","GC03P122183","27.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","48","GC22M037125","27.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"ATG16L1","Autophagy Related 16 Like 1","Protein Coding","43","GC02P233215","27.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","47","GC05M132481","27.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","50","GC07P150990","27.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","27.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","50","GC10P088969","27.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"VDR","Vitamin D Receptor","Protein Coding","52","GC12M047841","26.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"TLR9","Toll Like Receptor 9","Protein Coding","46","GC03M052222","26.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","53","GC02M190964","26.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"CD8A","CD8a Molecule","Protein Coding","47","GC02M086784","26.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"IL7R","Interleukin 7 Receptor","Protein Coding","47","GC05P035852","26.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"HLA-G","Major Histocompatibility Complex, Class I, G","Protein Coding","45","GC06P033174","26.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-G"
"C3","Complement C3","Protein Coding","48","GC19M006677","26.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","50","GC03P038179","26.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"TH","Tyrosine Hydroxylase","Protein Coding","52","GC11M002163","25.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"TNFAIP3","TNF Alpha Induced Protein 3","Protein Coding","47","GC06P137866","25.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3"
"APOB","Apolipoprotein B","Protein Coding","45","GC02M020956","25.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"THBD","Thrombomodulin","Protein Coding","44","GC20M023026","25.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","50","GC03P148697","25.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"CREBBP","CREB Binding Protein","Protein Coding","52","GC16M003726","25.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","44","GC06M073593","25.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"FASLG","Fas Ligand","Protein Coding","47","GC01P172628","25.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"KIAA1109","KIAA1109","Protein Coding","34","GC04P122152","25.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1109"
"PRODH","Proline Dehydrogenase 1","Protein Coding","45","GC22M018912","25.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH"
"HLA-DPA1","Major Histocompatibility Complex, Class II, DP Alpha 1","Protein Coding","41","GC06M033064","25.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPA1"
"CIITA","Class II Major Histocompatibility Complex Transactivator","Protein Coding","45","GC16P010879","25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIITA"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","47","GC05M037812","24.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"H2AC18","H2A Clustered Histone 18","Protein Coding","26","GC01M149914","24.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC18"
"CCK","Cholecystokinin","Protein Coding","41","GC03M042274","24.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"CTNNB1","Catenin Beta 1","Protein Coding","53","GC03P041236","24.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"CD80","CD80 Molecule","Protein Coding","42","GC03M119524","24.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD80"
"BACH2","BTB Domain And CNC Homolog 2","Protein Coding","42","GC06M089926","24.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACH2"
"PTPN2","Protein Tyrosine Phosphatase Non-Receptor Type 2","Protein Coding","46","GC18M016781","24.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2"
"MIR155","MicroRNA 155","RNA Gene","16","GC21P025573","24.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"PON1","Paraoxonase 1","Protein Coding","46","GC07M095297","24.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"MIR17","MicroRNA 17","RNA Gene","19","GC13P091350","24.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","39","GC06M161348","24.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","49","GC17M027756","23.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"UBE2L3","Ubiquitin Conjugating Enzyme E2 L3","Protein Coding","45","GC22P021549","23.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2L3"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","51","GC11M102835","23.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","46","GC16P056961","23.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"F5","Coagulation Factor V","Protein Coding","45","GC01M169511","23.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"TAGAP","T Cell Activation RhoGTPase Activating Protein","Protein Coding","37","GC06M159034","23.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGAP"
"MIR483","MicroRNA 483","RNA Gene","17","GC11M002178","23.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483"
"GAA","Glucosidase Alpha, Acid","Protein Coding","47","GC17P080101","23.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","52","GC11M102810","23.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"LPP","LIM Domain Containing Preferred Translocation Partner In Lipoma","Protein Coding","43","GC03P188153","23.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPP"
"TTR","Transthyretin","Protein Coding","49","GC18P031557","23.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"EPO","Erythropoietin","Protein Coding","42","GC07P100720","23.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO"
"NR1H4","Nuclear Receptor Subfamily 1 Group H Member 4","Protein Coding","48","GC12P100473","22.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H4"
"MTR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase","Protein Coding","46","GC01P236795","22.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTR"
"MIR145","MicroRNA 145","RNA Gene","20","GC05P149430","22.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"MMEL1","Membrane Metalloendopeptidase Like 1","Protein Coding","36","GC01M002590","22.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMEL1"
"TLR7","Toll Like Receptor 7","Protein Coding","46","GC0XP012867","22.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"GCG","Glucagon","Protein Coding","41","GC02M162142","22.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"IL15","Interleukin 15","Protein Coding","41","GC04P141636","22.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","51","GC22M021754","22.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"SERPINA3","Serpin Family A Member 3","Protein Coding","43","GC14P094612","22.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"JAK2","Janus Kinase 2","Protein Coding","54","GC09P004985","22.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","50","GC02M161992","22.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"EGF","Epidermal Growth Factor","Protein Coding","51","GC04P109912","21.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","49","GC12P040196","21.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"FUT2","Fucosyltransferase 2","Protein Coding","43","GC19P048695","21.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT2"
"GAD2","Glutamate Decarboxylase 2","Protein Coding","46","GC10P026216","21.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD2"
"IL12A","Interleukin 12A","Protein Coding","44","GC03P159988","21.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A"
"MBL2","Mannose Binding Lectin 2","Protein Coding","47","GC10M052760","21.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","51","GC07P117465","21.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","48","GC17M030194","21.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"SELE","Selectin E","Protein Coding","44","GC01M169722","21.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE"
"CP","Ceruloplasmin","Protein Coding","48","GC03M149162","21.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP"
"LCT","Lactase","Protein Coding","44","GC02M135787","20.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT"
"GAST","Gastrin","Protein Coding","40","GC17P041712","20.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAST"
"FN1","Fibronectin 1","Protein Coding","50","GC02M215360","20.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","52","GC18M063123","20.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"OCLN","Occludin","Protein Coding","45","GC05P069492","20.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCLN"
"SST","Somatostatin","Protein Coding","42","GC03M187668","20.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"CD36","CD36 Molecule","Protein Coding","49","GC07P080369","20.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","45","GC03P186842","20.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"ACVRL1","Activin A Receptor Like Type 1","Protein Coding","49","GC12P051906","20.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1"
"TLR8","Toll Like Receptor 8","Protein Coding","47","GC0XP012924","20.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","45","GC01M094530","20.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"TLR1","Toll Like Receptor 1","Protein Coding","47","GC04M038797","20.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR1"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","47","GC11M027654","20.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"MIR30A","MicroRNA 30a","RNA Gene","17","GC06M071403","20.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"LTA","Lymphotoxin Alpha","Protein Coding","42","GC06P033395","20.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA"
"TPO","Thyroid Peroxidase","Protein Coding","48","GC02P001374","20.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO"
"TGM6","Transglutaminase 6","Protein Coding","39","GC20P002380","20.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM6"
"MIR223","MicroRNA 223","RNA Gene","19","GC0XP066018","20.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"CBS","Cystathionine Beta-Synthase","Protein Coding","48","GC21M043053","19.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS"
"MIR150","MicroRNA 150","RNA Gene","20","GC19M049500","19.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"TBX21","T-Box Transcription Factor 21","Protein Coding","46","GC17P047733","19.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX21"
"TLR6","Toll Like Receptor 6","Protein Coding","43","GC04M038828","19.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR6"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","46","GC01P007968","19.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"CASP8","Caspase 8","Protein Coding","52","GC02P201233","19.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"DES","Desmin","Protein Coding","47","GC02P219418","19.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"SYP","Synaptophysin","Protein Coding","43","GC0XM049187","19.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP"
