Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","43.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"IL2","Interleukin 2","Protein Coding","46","GC04M122451","43.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"CD79A","CD79a Molecule","Protein Coding","46","GC19P041877","42.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","49","GC17P034255","42.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"PTPRC","Protein Tyrosine Phosphatase Receptor Type C","Protein Coding","51","GC01P198607","41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRC"
"ADA","Adenosine Deaminase","Protein Coding","50","GC20M044620","40.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"CD4","CD4 Molecule","Protein Coding","50","GC12P006786","40.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"IL4","Interleukin 4","Protein Coding","46","GC05P132673","40.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"TLR3","Toll Like Receptor 3","Protein Coding","52","GC04P186059","39.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","36.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"INS","Insulin","Protein Coding","48","GC11M002159","35.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"PRF1","Perforin 1","Protein Coding","45","GC10M070597","35.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"MPO","Myeloperoxidase","Protein Coding","50","GC17M058269","35.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"SH2D1A","SH2 Domain Containing 1A","Protein Coding","46","GC0XP124227","34.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D1A"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","34.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"RAG1","Recombination Activating 1","Protein Coding","45","GC11P036546","34.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG1"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","50","GC21M044885","33.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","33.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","33.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"JAK3","Janus Kinase 3","Protein Coding","52","GC19M017824","33.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","50","GC10M006010","33.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","45","GC10M044370","32.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"C3","Complement C3","Protein Coding","48","GC19M006677","32.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","46","GC16P031420","32.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"IL7R","Interleukin 7 Receptor","Protein Coding","47","GC05P035852","32.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"TLR5","Toll Like Receptor 5","Protein Coding","47","GC01M223109","32.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR5"
"CR2","Complement C3d Receptor 2","Protein Coding","45","GC01P207454","31.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR2"
"AIRE","Autoimmune Regulator","Protein Coding","45","GC21P044285","31.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","50","GC19P010270","31.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","53","GC04P102501","31.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"IL17A","Interleukin 17A","Protein Coding","42","GC06P052186","30.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"CD28","CD28 Molecule","Protein Coding","46","GC02P203706","30.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28"
"IL13","Interleukin 13","Protein Coding","45","GC05P132656","29.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","29.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"IL18","Interleukin 18","Protein Coding","44","GC11M112143","29.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"IL5","Interleukin 5","Protein Coding","45","GC05M132541","28.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"CASP8","Caspase 8","Protein Coding","52","GC02P201233","28.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"STX11","Syntaxin 11","Protein Coding","41","GC06P144150","28.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX11"
"TREX1","Three Prime Repair Exonuclease 1","Protein Coding","42","GC03P048466","28.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREX1"
"RAG2","Recombination Activating 2","Protein Coding","42","GC11M036575","28.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159715","28.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"PRTN3","Proteinase 3","Protein Coding","45","GC19P000840","28.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"FASLG","Fas Ligand","Protein Coding","47","GC01P172628","28.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"TLR9","Toll Like Receptor 9","Protein Coding","46","GC03M052222","27.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","50","GC10P088969","27.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","27.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M031289","27.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"CSF2","Colony Stimulating Factor 2","Protein Coding","44","GC05P132073","27.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"RAB27A","RAB27A, Member RAS Oncogene Family","Protein Coding","48","GC15M055202","27.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB27A"
"UNC13D","Unc-13 Homolog D","Protein Coding","43","GC17M075827","27.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC13D"
"CD8A","CD8a Molecule","Protein Coding","47","GC02M086784","26.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","45","GC06P167111","26.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"ZAP70","Zeta Chain Of T Cell Receptor Associated Protein Kinase 70","Protein Coding","52","GC02P097696","26.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZAP70"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","54","GC07P055019","26.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"MIR21","MicroRNA 21","RNA Gene","21","GC17P059841","26.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"ALB","Albumin","Protein Coding","50","GC04P073397","26.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"TNFRSF13B","TNF Receptor Superfamily Member 13B","Protein Coding","46","GC17M016929","26.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13B"
"MIR155","MicroRNA 155","RNA Gene","16","GC21P025573","25.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR146A","MicroRNA 146a","RNA Gene","21","GC05P160485","25.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","48","GC16P050693","25.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"CD86","CD86 Molecule","Protein Coding","43","GC03P122055","25.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD86"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","50","GC06P046057","25.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","50","GC03P038179","25.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"ICOSLG","Inducible T Cell Costimulator Ligand","Protein Coding","38","GC21M044222","25.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICOSLG"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","52","GC08P127735","25.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"IKBKG","Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma","Protein Coding","48","GC0XP154541","25.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKG"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","53","GC10P087863","25.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","43","GC17M035871","24.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","24.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CD80","CD80 Molecule","Protein Coding","42","GC03M119524","24.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD80"
"VWF","Von Willebrand Factor","Protein Coding","48","GC12M005917","24.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"TNFSF13B","TNF Superfamily Member 13b","Protein Coding","45","GC13P108251","24.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF13B"
"STXBP2","Syntaxin Binding Protein 2","Protein Coding","45","GC19P007637","24.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP2"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","44","GC06M032660","24.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","49","GC12P012716","24.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","50","GC12M025204","24.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","46","GC06P033211","24.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"IFNB1","Interferon Beta 1","Protein Coding","41","GC09M021077","23.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"CFP","Complement Factor Properdin","Protein Coding","43","GC0XM047624","23.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFP"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","43","GC04M076021","23.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"IL2RG","Interleukin 2 Receptor Subunit Gamma","Protein Coding","48","GC0XM071108","23.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RG"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","48","GC22M037125","23.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"ICOS","Inducible T Cell Costimulator","Protein Coding","43","GC02P203937","22.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICOS"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","53","GC04P054657","22.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"STIM1","Stromal Interaction Molecule 1","Protein Coding","49","GC11P003855","22.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","53","GC05M180607","22.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"HLA-DQA1","Major Histocompatibility Complex, Class II, DQ Alpha 1","Protein Coding","43","GC06P033442","22.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1"
"CTNNB1","Catenin Beta 1","Protein Coding","53","GC03P041236","22.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","51","GC22M021754","22.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","49","GC17P047254","22.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","47","GC0XP037780","22.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","22.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","47","GC19P000854","22.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"C5","Complement C5","Protein Coding","46","GC09M120952","21.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5"
"NFKB2","Nuclear Factor Kappa B Subunit 2","Protein Coding","52","GC10P102394","21.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB2"
"IFIH1","Interferon Induced With Helicase C Domain 1","Protein Coding","47","GC02M162267","21.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1"
"TNFRSF13C","TNF Receptor Superfamily Member 13C","Protein Coding","45","GC22M044570","21.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C"
"ACP5","Acid Phosphatase 5, Tartrate Resistant","Protein Coding","47","GC19M011574","21.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5"
"MIR17","MicroRNA 17","RNA Gene","19","GC13P091350","21.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"IL12B","Interleukin 12B","Protein Coding","44","GC05M159314","21.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"HAVCR2","Hepatitis A Virus Cellular Receptor 2","Protein Coding","43","GC05M157063","21.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR2"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","49","GC12M006328","21.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"TLR7","Toll Like Receptor 7","Protein Coding","46","GC0XP012867","20.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"SMAD3","SMAD Family Member 3","Protein Coding","48","GC15P067063","20.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"CCR5","C-C Motif Chemokine Receptor 5 (Gene/Pseudogene)","Protein Coding","47","GC03P046384","20.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"SYK","Spleen Associated Tyrosine Kinase","Protein Coding","50","GC09P091113","20.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYK"
"MBL2","Mannose Binding Lectin 2","Protein Coding","47","GC10M052760","20.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"DDX41","DEAD-Box Helicase 41","Protein Coding","42","GC05M177511","20.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","53","GC01M011106","20.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MIR150","MicroRNA 150","RNA Gene","20","GC19M049500","20.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"BTK","Bruton Tyrosine Kinase","Protein Coding","53","GC0XM101349","20.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"PTPN22","Protein Tyrosine Phosphatase Non-Receptor Type 22","Protein Coding","46","GC01M113813","20.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22"
"PDCD1","Programmed Cell Death 1","Protein Coding","47","GC02M241849","20.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"CD274","CD274 Molecule","Protein Coding","45","GC09P005450","20.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","49","GC17M027756","20.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"TLR1","Toll Like Receptor 1","Protein Coding","47","GC04M038797","20.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR1"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","52","GC20P037344","20.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"SPINK5","Serine Peptidase Inhibitor Kazal Type 5","Protein Coding","42","GC05P148025","19.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK5"
"JAK2","Janus Kinase 2","Protein Coding","54","GC09P004985","19.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"IL7","Interleukin 7","Protein Coding","42","GC08M078689","19.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"IFNA1","Interferon Alpha 1","Protein Coding","39","GC09P021478","19.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"GATA3","GATA Binding Protein 3","Protein Coding","49","GC10P008045","19.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","46","GC01P100719","19.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"BLK","BLK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","50","GC08P011486","19.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLK"
"FCGR2B","Fc Fragment Of IgG Receptor IIb","Protein Coding","47","GC01P161663","19.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2B"
"MBP","Myelin Basic Protein","Protein Coding","44","GC18M076978","19.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBP"
"CD247","CD247 Molecule","Protein Coding","49","GC01M167399","19.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD247"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","51","GC05P068215","19.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"DDX58","DExD/H-Box Helicase 58","Protein Coding","47","GC09M032455","19.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX58"
"IRF4","Interferon Regulatory Factor 4","Protein Coding","43","GC06P000391","19.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF4"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","47","GC02M197486","19.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"CCND1","Cyclin D1","Protein Coding","52","GC11P069641","19.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","53","GC20P046008","19.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"ORAI1","ORAI Calcium Release-Activated Calcium Modulator 1","Protein Coding","44","GC12P122635","19.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","55","GC08M038400","18.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"MPZ","Myelin Protein Zero","Protein Coding","44","GC01M161304","18.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPZ"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","53","GC11P108222","18.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"TLR6","Toll Like Receptor 6","Protein Coding","43","GC04M038828","18.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR6"
"HLA-DPB1","Major Histocompatibility Complex, Class II, DP Beta 1","Protein Coding","43","GC06P033447","18.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1"
"PIK3CD","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta","Protein Coding","53","GC01P009629","18.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD"
"TBX21","T-Box Transcription Factor 21","Protein Coding","46","GC17P047733","18.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX21"
"IFNGR1","Interferon Gamma Receptor 1","Protein Coding","49","GC06M137197","18.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR1"
"IL15","Interleukin 15","Protein Coding","41","GC04P141636","18.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"FCGR2A","Fc Fragment Of IgG Receptor IIa","Protein Coding","46","GC01P161505","18.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"MIF","Macrophage Migration Inhibitory Factor","Protein Coding","49","GC22P023894","18.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF"
"KRT10","Keratin 10","Protein Coding","42","GC17M040818","18.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","50","GC14P075278","18.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","18.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","52","GC02M136114","18.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","39","GC17M036088","18.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"ENG","Endoglin","Protein Coding","46","GC09M127815","18.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"DCLRE1C","DNA Cross-Link Repair 1C","Protein Coding","43","GC10M014897","18.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCLRE1C"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","52","GC03P179148","18.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"STING1","Stimulator Of Interferon Response CGAMP Interactor 1","Protein Coding","34","GC05M139476","18.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","46","GC02M191029","18.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"CSF3","Colony Stimulating Factor 3","Protein Coding","41","GC17P040015","18.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"EP300","E1A Binding Protein P300","Protein Coding","50","GC22P041091","18.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","52","GC03P030623","18.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"H2AC18","H2A Clustered Histone 18","Protein Coding","26","GC01M149914","18.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC18"
"PMP22","Peripheral Myelin Protein 22","Protein Coding","41","GC17M015229","18.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMP22"
"ITGA2B","Integrin Subunit Alpha 2b","Protein Coding","50","GC17M044380","18.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B"
"TLR8","Toll Like Receptor 8","Protein Coding","47","GC0XP012924","18.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","53","GC16P055390","18.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"CASR","Calcium Sensing Receptor","Protein Coding","50","GC03P122183","18.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","53","GC12P112418","18.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"MIR34A","MicroRNA 34a","RNA Gene","20","GC01M009151","17.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","49","GC0XP123859","17.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","49","GC01M058780","17.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"ACTA2","Actin Alpha 2, Smooth Muscle","Protein Coding","47","GC10M088935","17.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2"
